frame_no,timestamp_sec,lon,lat
172,34.2,76.251444748,25.977007755
173,34.4,76.251462449,25.977049979
174,34.6,76.251480089,25.97709224
175,34.8,76.251498025,
176,35.0,76.251515738,25.977177551
177,35.2,76.251533428,25.97721986
178,35.4,76.251551043,25.977262036
179,35.6,76.251568975,
180,35.8,76.251585447,
181,36.0,76.251603277,25.977388279
182,36.2,76.251621048,25.977431
183,36.4,76.25163856,25.977473401
184,36.6,76.25165543,25.977513979
185,36.8,76.251673267,25.977557008
186,37.0,76.251691221,
187,37.2,76.251708896,
188,37.4,76.251726298,
189,37.6,76.251744196,25.977726324
190,37.8,76.251761896,25.977768702
191,38.0,76.251779389,25.977809945
192,38.2,76.251797665,25.977852871
193,38.4,76.251814931,
194,38.6,76.251833431,
195,38.8,76.251850605,
196,39.0,76.251869252,
197,39.2,76.251886564,
198,39.4,76.251904998,
199,39.6,76.251922439,
200,39.8,76.251940821,25.978189524
201,40.0,76.251958435,
202,40.2,76.251977175,25.978274472
203,40.4,76.251994545,25.978314993
204,40.6,76.2520122,
205,40.8,76.252030882,
206,41.0,76.252048591,25.978441004
207,41.2,76.252067485,
208,41.4,76.25208508,25.978525989
209,41.6,76.25210279,
210,41.8,76.252120561,
211,42.0,76.252139217,
212,42.2,76.25215712,
213,42.4,76.252174868,
214,42.6,76.252192933,
215,42.8,76.252210858,25.978818838
216,43.0,76.25223033,
217,43.2,76.252248083,25.978904302
218,43.4,76.252266185,25.97894631
219,43.6,76.25228412,25.978988327
220,43.8,76.252302048,25.979030644
221,44.0,76.252319763,
222,44.2,76.25233751,
223,44.4,76.252355483,
224,44.6,76.25237351,
225,44.8,76.252391787,25.979241072
226,45.0,76.252410304,
227,45.2,76.252429479,
228,45.4,76.252446972,25.979365122
229,45.6,76.252465894,
230,45.8,76.252484604,25.979450258
231,46.0,76.252503104,25.97949231
232,46.2,76.252520676,25.97953271
233,46.4,76.252539169,25.979575503
234,46.6,76.252557591,25.979618326
235,46.8,76.252576084,25.979661
236,47.0,76.252593364,25.979701468
237,47.2,76.25261,
238,47.4,76.25263078,25.979787269
239,47.6,76.252648565,
240,47.8,76.25266744,
241,48.0,76.252686465,25.979913033
242,48.2,76.252704461,
243,48.4,76.252723042,
244,48.6,76.252741084,25.980036892
245,48.8,76.252759826,25.980079693
246,49.0,76.252777826,
247,49.2,76.252796877,
248,49.4,76.252814308,
249,49.6,76.252833329,
250,49.8,76.252851077,25.980289422
251,50.0,76.252868923,
252,50.2,76.252887949,25.980374457
253,50.4,76.252905759,25.980415243
254,50.6,76.252923544,25.980455774
255,50.8,76.252942681,25.980499244
256,51.0,76.252961277,25.980541084
257,51.2,76.252979507,
258,51.4,76.252998922,
259,51.6,76.253017125,25.98066671
260,51.8,76.253035454,
261,52.0,76.253053596,
262,52.2,76.253072634,
263,52.4,76.253090951,25.980834494
264,52.6,76.253108804,
265,52.8,76.253126783,25.980916348
266,53.0,76.253146121,25.980959929
267,53.2,76.253164642,25.981001665
268,53.4,76.253182961,25.981042848
269,53.6,76.25320245,25.98108671
270,53.8,76.253220526,25.981
271,54.0,76.253238816,25.981
272,54.2,76.253258257,
273,54.4,76.25327644,25.981
274,54.6,76.253294549,25.98129382
275,54.8,76.253313847,25.981337545
276,55.0,76.253331889,25.981378348
277,55.2,76.253350876,25.981421357
278,55.4,76.253368773,25.981461964
279,55.6,76.253386991,25.981503187
280,55.8,76.25340589,25.981
281,56.0,76.253423889,25.981
282,56.2,76.253443125,25.981
283,56.4,76.253461078,25.981669821
284,56.6,76.253480479,25.981
285,56.8,76.253499652,25.981756288
286,57.0,76.253517558,
287,57.2,76.253536263,25.981840104
288,57.4,76.253553858,25.981880802
289,57.6,76.253572285,25.981
290,57.8,76.253590235,
291,58.0,76.253608853,
292,58.2,76.253627605,
293,58.4,76.253645023,
294,58.6,76.253663991,
295,58.8,76.25368144,25.982173651
296,59.0,76.253700134,25.982216402
297,59.2,76.253719184,25.982259652
298,59.4,76.253736775,25.982299777
299,59.6,76.253755545,25.982342787
300,59.8,76.253772939,25.982382877
301,60.0,76.253791573,25.982425961
302,60.2,76.253810126,25.982468643
303,60.4,76.253828923,25.98251
304,60.6,76.253846282,25.982551
305,60.8,76.253864913,25.982594533
306,61.0,76.253883702,25.982637641
307,61.2,76.25390121,25.982677737
308,61.4,76.253919899,25.98272042
309,61.6,76.253938739,25.982763393
310,61.8,76.253956381,
311,62.0,76.253975094,
312,62.2,76.253993567,
313,62.4,76.25401,25.982929141
314,62.6,76.254029454,25.982971235
315,62.8,76.254048128,25.983013819
316,63.0,76.254065838,25.983054224
317,63.2,76.254084605,25.983096882
318,63.4,76.25410351,
319,63.6,76.254121404,
320,63.8,76.254140602,
321,64.0,76.254159666,25.983265002
322,64.2,76.254178788,25.983307739
